frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m,latency_ms
426,1,1,1.0,1.0,-0.7928,75.35
427,1,1,1.0,1.0,-0.8325,72.18
428,1,1,1.0,1.0,-0.7289,76.2
429,1,1,1.0,1.0,-0.8467,84.73
430,1,1,1.0,1.0,-0.794,80.26
431,1,1,1.0,1.0,-0.7834,74.95
432,1,1,1.0,1.0,-0.7716,74.87
433,1,1,1.0,1.0,-0.7826,74.04
434,1,1,1.0,1.0,-0.7716,80.59
435,1,1,1.0,1.0,-0.7708,79.18
436,1,1,1.0,1.0,-0.7774,78.65
437,1,1,1.0,1.0,-0.7886,72.38
438,1,1,1.0,1.0,-0.7935,73.76
439,1,1,1.0,1.0,-0.7767,80.71
440,1,1,1.0,1.0,-0.7886,72.41
441,1,1,1.0,1.0,-0.8113,78.96
442,1,1,1.0,1.0,-0.7235,72.9
443,1,1,1.0,1.0,-0.8174,74.8
444,1,1,1.0,1.0,-0.7914,68.59
445,1,1,1.0,1.0,-0.7985,76.2
446,1,1,1.0,1.0,-0.7828,69.75
447,1,1,1.0,1.0,-0.7906,79.76
448,1,1,1.0,1.0,-0.7923,71.89
449,1,1,1.0,1.0,-0.7951,76.14
450,1,1,1.0,1.0,-0.7919,68.53
451,1,1,1.0,1.0,-0.7997,75.52
452,1,1,1.0,1.0,-0.8107,78.09
453,1,1,1.0,1.0,-0.8048,77.61
454,1,1,1.0,1.0,-0.8373,76.34
455,1,1,1.0,1.0,-0.8313,80.38
456,1,1,1.0,1.0,-0.7967,79.21
457,1,1,1.0,1.0,-0.8104,83.65
458,1,1,1.0,1.0,-0.8091,71.76
459,1,1,1.0,1.0,-0.8018,82.04
460,1,1,1.0,1.0,-0.8073,82.19
461,1,1,1.0,1.0,-0.8084,76.88
462,1,1,1.0,1.0,-0.8104,76.38
463,1,1,1.0,1.0,-0.8087,76.26
464,1,1,1.0,1.0,-0.8092,81.32
465,1,1,1.0,1.0,-0.8291,80.71
466,1,1,1.0,1.0,-0.8146,72.65
467,1,1,1.0,1.0,-0.8082,85.48
468,1,1,1.0,1.0,-0.8919,81.69
469,1,1,1.0,1.0,-0.8298,85.84
470,1,1,1.0,1.0,-0.7983,67.13
471,1,1,1.0,1.0,-0.8478,83.33
472,1,1,1.0,1.0,-0.8293,82.83
473,1,1,1.0,1.0,-0.8334,79.19
474,1,1,1.0,1.0,-0.8413,82.19
475,1,1,1.0,1.0,-0.8532,79.73
476,1,1,1.0,1.0,-0.8541,76.65
477,1,1,1.0,1.0,-0.8581,76.28
478,1,1,1.0,1.0,-0.8544,82.37
479,1,1,1.0,1.0,-0.8692,74.29
480,1,1,1.0,1.0,-0.8448,73.02
481,1,1,1.0,1.0,-0.8761,75.51
482,1,1,1.0,1.0,-0.8748,77.38
483,1,1,1.0,1.0,-0.8656,84.11
484,1,1,1.0,1.0,-0.8644,73.4
485,1,1,1.0,1.0,-0.8912,83.66
486,1,1,1.0,1.0,-0.8915,85.22
487,1,1,1.0,1.0,-0.8851,74.1
488,1,1,1.0,1.0,-0.8775,79.67
489,1,1,1.0,1.0,-0.888,70.89
490,1,1,1.0,1.0,-0.8875,83.83
491,1,1,1.0,1.0,-0.8927,81.8
492,1,1,1.0,1.0,-0.8788,77.87
493,1,1,1.0,1.0,-0.9068,82.24
494,1,1,1.0,1.0,-0.9079,85.04
495,1,1,1.0,1.0,-0.9117,76.51
496,1,1,1.0,1.0,-0.9242,77.22
497,1,1,1.0,1.0,-0.9166,77.24
498,1,1,1.0,1.0,-0.9116,76.44
499,1,1,1.0,1.0,-0.912,85.01
500,1,1,1.0,1.0,-0.9082,66.94
501,1,1,1.0,1.0,-0.9072,74.17
502,1,1,1.0,1.0,-0.9094,74.41
503,1,1,1.0,1.0,-0.9123,74.23
504,1,1,1.0,1.0,-0.9167,78.59
505,1,1,1.0,1.0,-0.9133,77.99
506,1,1,1.0,1.0,-0.9128,67.91
507,1,1,1.0,1.0,-0.9122,89.2
508,1,1,1.0,1.0,-0.9198,65.78
509,1,1,1.0,1.0,-0.9364,73.05
510,1,1,1.0,1.0,-0.9249,71.93
511,1,1,1.0,1.0,-0.9358,82.97
512,1,1,1.0,1.0,-0.9176,80.09
513,1,1,1.0,1.0,-0.911,75.61
514,1,1,1.0,1.0,-0.9221,67.96
515,1,1,1.0,1.0,-0.9294,76.76
516,1,1,1.0,1.0,-0.939,73.76
517,1,1,1.0,1.0,-0.9286,83.81
518,1,1,1.0,1.0,-0.9323,93.91
519,1,1,1.0,1.0,-0.9366,81.74
520,1,1,1.0,1.0,-0.9302,75.61
521,1,1,1.0,1.0,-0.9334,74.46
522,1,1,1.0,1.0,-0.9316,75.03
523,1,1,1.0,1.0,-0.9394,86.91
524,1,1,1.0,1.0,-0.9302,61.88
525,1,1,1.0,1.0,-0.9287,70.52
526,1,1,1.0,1.0,-0.9447,85.99
527,1,1,1.0,1.0,-0.9278,73.78
528,1,1,1.0,1.0,-0.9337,74.1
529,1,1,1.0,1.0,-0.9336,77.83
530,1,1,1.0,1.0,0.0155,74.65
531,1,1,1.0,1.0,0.0127,72.81
